reporting_group,reporting_scope,component_id,stratum,attack_related,metric_role,median,q1,q3,iqr,mad,p95,n,artifact_count,not_an_overhead_estimate
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H3,accepted,False,paired_h0_latency_ns,5976300.0,5292750.0,9941175.0,4648425.0,985850.0,11729389.999999996,4200,42,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H3,accepted,False,raw_component_latency_ns,551600.0,443775.0,708450.0,264675.0,125800.0,930889.9999999995,4200,42,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H4,accepted,False,composed_path_latency_ns,7156200.0,6015675.0,11192450.0,5176775.0,1452200.0,13289534.999999998,4200,42,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H4,accepted,False,paired_component_minus_load_difference_ns,-5425850.0,-8827700.0,-4512975.0,4314725.0,1252550.0,-4178690.000000001,4200,42,True
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H4,accepted,False,paired_h0_latency_ns,6273050.0,5262725.0,10017475.0,4754750.0,1309100.0,12035645.0,4200,42,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H4,accepted,False,raw_component_latency_ns,878200.0,731875.0,1149300.0,417425.0,208850.0,1384405.0,4200,42,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H5,accepted,False,composed_path_latency_ns,6681050.0,5418450.0,9969550.0,4551100.0,1666850.0,12149325.0,4200,42,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H5,accepted,False,paired_component_minus_load_difference_ns,-6660000.0,-9945225.0,-5397775.0,4547450.0,1663250.0,-4992375.000000001,4200,42,True
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H5,accepted,False,paired_h0_latency_ns,6673600.0,5408000.0,9960300.0,4552300.0,1668650.0,12119044.999999996,4200,42,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H5,accepted,False,raw_component_latency_ns,12350.0,4200.0,17100.0,12900.0,7650.0,21000.0,4200,42,False
