component_id,artifact_id,source_population,stratum,attack_related,raw_component_median_latency_ns,paired_h0_median_latency_ns,composed_path_median_latency_ns,paired_component_minus_load_difference_median_ns,peak_traced_allocation_bytes,canonical_bytes,bundle_bytes,N_operations,N_modes,schedule_operation_count,recorded_repetitions
H1,A22_SINGLE_MF_003,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,125900.0,191450.0,318200.0,-69100.0,31502,9048,9048,,,,100
H1,A22_SINGLE_MF_004,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,77850.0,163700.0,235600.0,-98350.0,15515,3719,3719,,,,100
H1,A22_SINGLE_MF_005,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,156450.0,201650.0,355700.0,-54300.0,50785,15875,15875,,,,100
H1,A22_SINGLE_MF_006,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,68700.0,170050.0,233250.0,-104050.0,12812,2818,2818,,,,100
H1,A22_SINGLE_MF_007,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,73550.0,178100.0,247600.0,-113750.0,14018,3220,3220,,,,100
H1,A22_SINGLE_MF_008,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,55950.0,153800.0,209050.0,-100600.0,10568,2070,2070,,,,100
H1,A22_SINGLE_MF_009,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,136150.0,192400.0,323700.0,-60050.0,32612,9418,9418,,,,100
H1,A22_SINGLE_MF_010,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,93550.0,188500.0,277000.0,-107650.0,18518,4720,4720,,,,100
H1,A22_SINGLE_MF_011,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,201500.0,243750.0,438550.0,-55000.0,48443,14695,14695,,,,100
H1,A22_SINGLE_MF_012,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,313350.0,260100.0,568500.0,48100.0,112331,35991,35991,,,,100
H1,A22_SINGLE_MF_013,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,73050.0,162900.0,230200.0,-102000.0,13595,3079,3079,,,,100
H1,A22_SINGLE_MF_014,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,64850.0,159550.0,221650.0,-102150.0,12887,2843,2843,,,,100
H1,A22_SINGLE_MF_015,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,147350.0,198750.0,343100.0,-61300.0,46027,14289,14289,,,,100
H1,A22_SINGLE_MF_016,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,91450.0,186900.0,275600.0,-104300.0,18653,4765,4765,,,,100
H1,A22_SINGLE_MF_017,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,196150.0,222500.0,415050.0,-36800.0,62690,19444,19444,,,,100
H1,A22_SINGLE_MF_018,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,177750.0,209650.0,383450.0,-39550.0,45923,13855,13855,,,,100
H1,A22_SINGLE_MF_019,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,68600.0,162150.0,228400.0,-103250.0,13169,2937,2937,,,,100
H1,A22_SINGLE_MF_020,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,161150.0,207800.0,365100.0,-57150.0,50590,15810,15810,,,,100
H1,A22_SINGLE_PRIORITY_001,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,60500.0,168500.0,225600.0,-117300.0,10277,2037,2037,,,,100
H1,A22_SINGLE_PRIORITY_002,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,76200.0,178400.0,248700.0,-113950.0,13517,3117,3117,,,,100
H1,A22_SINGLE_PRIORITY_003,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,55000.0,153500.0,208700.0,-103200.0,10655,2163,2163,,,,100
