component_id,reporting_group,artifact_id,descriptor,descriptor_value,artifact_median_component_latency_ns,observed_range_only
H1,H1_A26,9827288498c6ff63f3f7ec6f3bb833b53ac1c3cbaf59021addc82b6a8c08bae2,bundle_bytes,754955,19900950.0,True
H1,H1_A26,9827288498c6ff63f3f7ec6f3bb833b53ac1c3cbaf59021addc82b6a8c08bae2,N_operations,150,19900950.0,True
H1,H1_A26,9827288498c6ff63f3f7ec6f3bb833b53ac1c3cbaf59021addc82b6a8c08bae2,N_modes,451,19900950.0,True
H1,H1_A26,9827288498c6ff63f3f7ec6f3bb833b53ac1c3cbaf59021addc82b6a8c08bae2,schedule_operation_count,150,19900950.0,True
H1,H1_A26,9f7906189c782cba7c3a4cc9cb8785764c8ad3fb1e637423a7a310d6c438feb5,canonical_bytes,376294,10164200.0,True
H1,H1_A26,9f7906189c782cba7c3a4cc9cb8785764c8ad3fb1e637423a7a310d6c438feb5,bundle_bytes,376294,10164200.0,True
H1,H1_A26,9f7906189c782cba7c3a4cc9cb8785764c8ad3fb1e637423a7a310d6c438feb5,N_operations,90,10164200.0,True
H1,H1_A26,9f7906189c782cba7c3a4cc9cb8785764c8ad3fb1e637423a7a310d6c438feb5,N_modes,172,10164200.0,True
H1,H1_A26,9f7906189c782cba7c3a4cc9cb8785764c8ad3fb1e637423a7a310d6c438feb5,schedule_operation_count,90,10164200.0,True
H1,H1_A22,A22_ATTACK_PURE_001,canonical_bytes,2292,51450.0,True
H1,H1_A22,A22_ATTACK_PURE_001,bundle_bytes,2292,51450.0,True
H1,H1_A22,A22_ATTACK_PURE_002,canonical_bytes,1999,47950.0,True
H1,H1_A22,A22_ATTACK_PURE_002,bundle_bytes,1999,47950.0,True
H1,H1_A22,A22_ATTACK_PURE_003,canonical_bytes,2158,56000.0,True
H1,H1_A22,A22_ATTACK_PURE_003,bundle_bytes,2158,56000.0,True
H1,H1_A22,A22_ATTACK_PURE_004,canonical_bytes,2018,50550.0,True
H1,H1_A22,A22_ATTACK_PURE_004,bundle_bytes,2018,50550.0,True
H1,H1_A22,A22_ATTACK_PURE_005,canonical_bytes,2827,61250.0,True
